Shirt_Color,Shirt_RGB_R,Shirt_RGB_G,Shirt_RGB_B,Pants_Color,Pants_RGB_R,Pants_RGB_G,Pants_RGB_B,Shoes_Color,Shoes_RGB_R,Shoes_RGB_G,Shoes_RGB_B,Vibe,Match_Score
Maroon,216,127,167,Mustard Pants,209,199,247,Cognac Leather,230,181,255,Casual Everyday,5
Light Pink,219,80,210,Blue Denim,180,146,201,Chocolate Suede,27,146,31,Casual Everyday,5
Rust Orange,91,60,204,Copper Pants,155,2,6,Olive Sneakers,213,80,253,Casual Everyday,5
Celadon,64,243,128,Tobacco Pants,105,63,124,Chocolate Suede,27,146,31,Casual Everyday,5
Royal Blue,49,216,149,Khaki,126,194,59,White Sneakers,220,43,27,Casual Everyday,7
Ochre,183,9,220,Rust Pants,190,39,177,Cognac Leather,230,181,255,Casual Everyday,5
Maroon,216,127,167,Black Pants,206,170,32,Grey Sneakers,168,175,132,Casual Everyday,5
White,37,168,23,Pewter Trousers,175,145,158,Burgundy Dress Shoes,117,60,104,Casual Everyday,7
Mauve,75,119,233,Light Grey,211,189,19,Brown Boots,144,130,77,Casual Everyday,5
Crimson,46,36,182,Lavender Chinos,157,129,229,Tan Loafers,193,114,250,Casual Everyday,5
Teal,226,3,133,Wheat Chinos,154,248,16,Cognac Leather,230,181,255,Casual Everyday,5
Periwinkle,207,129,236,Burgundy Pants,133,40,189,Charcoal Boots,176,12,26,Casual Everyday,5
Grey,202,243,160,Muted Olive Chinos,237,169,220,Beige Suede,153,242,71,Casual Everyday,5
Violet,128,241,24,Slate Blue Pants,252,71,56,Beige Suede,153,242,71,Casual Everyday,5
Navy Blue,193,199,88,Teal Pants,188,245,240,Brown Boots,144,130,77,Casual Everyday,7
Fuchsia,75,23,86,Black Pants,206,170,32,Cognac Leather,230,181,255,Casual Everyday,5
Light Pink,219,80,210,White Pants,198,170,174,Tan Loafers,193,114,250,Casual Everyday,5
Tan Shirt,218,164,105,Chocolate Brown,41,249,59,Grey Suede,127,181,167,Casual Everyday,5
Emerald Green,156,96,180,Rust Pants,190,39,177,Navy Sneakers,41,186,72,Casual Everyday,5
Gold,151,104,254,Brick Red Pants,127,5,110,Oxblood Boots,68,40,120,Casual Everyday,5
Fuchsia,75,23,86,Tan,18,102,180,Olive Sneakers,213,80,253,Casual Everyday,5
Cyan Shirt,22,153,150,Copper Pants,155,2,6,Cream Loafers,166,113,199,Casual Everyday,5
Midnight Blue,227,139,250,Black Pants,206,170,32,White Canvas Shoes,39,120,229,Casual Everyday,7
Turquoise,218,58,79,Off-White Chinos,113,128,139,Chocolate Suede,27,146,31,Casual Everyday,5
Amber,136,6,142,Mahogany Pants,69,91,57,Grey Sneakers,168,175,132,Casual Everyday,5
Steel Blue,58,237,152,Mauve Trousers,218,30,34,Tan Loafers,193,114,250,Casual Everyday,7
Lemon Yellow,148,92,3,Sage Pants,43,53,15,Light Brown,163,20,174,Casual Everyday,5
Dusty Rose,150,164,49,Tobacco Pants,105,63,124,Beige Suede,153,242,71,Casual Everyday,5
Navy Blue,193,199,88,Charcoal Grey,63,108,222,Charcoal Boots,176,12,26,Casual Everyday,7
Lilac,118,31,50,Mahogany Pants,69,91,57,Cream Loafers,166,113,199,Casual Everyday,5
Light Pink,219,80,210,Off-White Chinos,113,128,139,Oxblood/Burgundy,162,114,19,Casual Everyday,5
Khaki Shirt,182,182,91,Umber Slacks,81,148,251,Beige Suede,153,242,71,Casual Everyday,5
